rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
74,Java,FizzBuzzEnterpriseEdition,13854,612,Java,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,318,2020-12-14T11:37:41Z,FizzBuzz Enterprise Edition is a no-nonsense implementation of FizzBuzz made by serious businessmen for serious business purposes.
75,Java,zipkin,13815,2617,Java,https://github.com/openzipkin/zipkin,openzipkin,140,2020-12-18T00:20:15Z,Zipkin is a distributed tracing system
76,Java,springboot-learning-example,13780,6651,Java,https://github.com/JeffLi1993/springboot-learning-example,JeffLi1993,45,2020-11-19T16:48:54Z,spring boot 实践学习案例，是 spring boot 初学者及核心技术巩固的最佳实践。另外写博客，用 OpenWrite。
77,Java,CircleImageView,13626,3017,Java,https://github.com/hdodenhof/CircleImageView,hdodenhof,7,2020-11-28T10:40:26Z,A circular ImageView for Android
78,Java,Material-Animations,13488,2573,Java,https://github.com/lgvalle/Material-Animations,lgvalle,19,2019-04-02T15:42:38Z,Android Transition animations explanation with examples.
79,Java,eladmin,13110,4840,Java,https://github.com/elunez/eladmin,elunez,2,2020-12-15T05:33:22Z,项目基于 Spring Boot 2.1.0 、 Jpa、 Spring Security、redis、Vue的前后端分离的后台管理系统，项目采用分模块开发方式， 权限控制采用 RBAC，支持数据字典与数据权限管理，支持一键生成前后端代码，支持动态路由
80,Java,rocketmq,13068,7105,Java,https://github.com/apache/rocketmq,apache,321,2020-12-16T02:07:59Z,Mirror of Apache RocketMQ
81,Java,shardingsphere,12999,4384,Java,https://github.com/apache/shardingsphere,apache,147,2020-12-17T13:55:55Z,Distributed database middleware
82,Java,ARouter,12686,2219,Java,https://github.com/alibaba/ARouter,alibaba,27,2020-11-06T10:33:51Z,💪 A framework for assisting in the renovation of Android componentization (帮助 Android App 进行组件化改造的路由框架)
83,Java,QMUI_Android,12507,2411,Java,https://github.com/Tencent/QMUI_Android,Tencent,336,2020-12-17T13:53:02Z,提高 Android UI 开发效率的 UI 库
84,Java,expo,12502,2047,Java,https://github.com/expo/expo,expo,924,2020-12-18T01:22:01Z,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web."
85,Java,SpringBoot-Learning,12500,4186,Java,https://github.com/dyc87112/SpringBoot-Learning,dyc87112,47,2020-12-17T08:11:47Z,Spring Boot基础教程，Spring Boot 2.x版本连载中！！！
86,Java,Android-PickerView,12387,3195,Java,https://github.com/Bigkoo/Android-PickerView,Bigkoo,376,2020-10-23T08:33:39Z,"This is a picker view for android , support linkage effect, timepicker and optionspicker.（时间选择器、省市区三级联动）"
87,Java,greenDAO,12292,2861,Java,https://github.com/greenrobot/greenDAO,greenrobot,220,2020-08-11T13:03:18Z,greenDAO is a light & fast ORM solution for Android that maps objects to SQLite databases.
88,Java,Luban,12223,2075,Java,https://github.com/Curzibn/Luban,Curzibn,136,2019-09-12T02:26:37Z,Luban(鲁班)—Image compression with efficiency very close to WeChat Moments/可能是最接近微信朋友圈的图片压缩算法
89,Java,stetho,12134,1117,Java,https://github.com/facebookarchive/stetho,facebookarchive,74,2020-10-14T12:23:01Z,"Stetho is a debug bridge for Android applications, enabling the powerful Chrome Developer Tools and much more."
90,Java,AndroidSwipeLayout,11961,2716,Java,https://github.com/daimajia/AndroidSwipeLayout,daimajia,375,2020-10-01T05:30:12Z,The Most Powerful Swipe Layout!
91,Java,NewPipe,11901,1616,Java,https://github.com/TeamNewPipe/NewPipe,TeamNewPipe,749,2020-12-17T20:33:54Z,A libre lightweight streaming front-end for Android.
92,Java,Matisse,11714,1851,Java,https://github.com/zhihu/Matisse,zhihu,426,2020-11-02T22:19:57Z,:fireworks: A well-designed local image and video selector for Android
93,Java,AndroidViewAnimations,11618,2365,Java,https://github.com/daimajia/AndroidViewAnimations,daimajia,57,2020-08-30T15:10:57Z,Cute view animation collection.
94,Java,vert.x,11613,1750,Java,https://github.com/eclipse-vertx/vert.x,eclipse-vertx,265,2020-12-17T21:59:32Z,Vert.x is a tool-kit for building reactive applications on the JVM
95,Java,material-components-android,11613,2206,Java,https://github.com/material-components/material-components-android,material-components,557,2020-12-17T17:49:17Z,Modular and customizable Material Design UI components for Android
96,Java,presto,11472,3931,Java,https://github.com/prestodb/presto,prestodb,959,2020-12-17T23:03:55Z,The official home of the Presto distributed SQL query engine for big data
97,Java,mockito,11322,2010,Java,https://github.com/mockito/mockito,mockito,284,2020-12-17T13:25:16Z,Most popular Mocking framework for unit tests written in Java
98,Java,SlidingMenu,11198,5230,Java,https://github.com/jfeinstein10/SlidingMenu,jfeinstein10,307,2017-03-31T02:15:51Z,An Android library that allows you to easily create applications with slide-in menus. You may use it in your Android apps provided that you cite this project and include the license in your app. Thanks!
99,Java,elasticsearch-analysis-ik,11166,2570,Java,https://github.com/medcl/elasticsearch-analysis-ik,medcl,278,2020-12-17T03:55:15Z,"The IK Analysis plugin integrates Lucene IK analyzer into elasticsearch, support customized dictionary."
100,Java,hadoop,11146,6916,Java,https://github.com/apache/hadoop,apache,349,2020-12-18T00:54:38Z,Apache Hadoop
